id,region
00010001,千代田区
00010003,千代田区
00010004,千代田区
00010005,千代田区
00010036,千代田区
00010138,千代田区
00010265,千代田区
00010735,千代田区
00010008,千代田区
00010009,千代田区
00010010,千代田区
00010011,千代田区
00010012,千代田区
00010028,千代田区
00010034,千代田区
00010038,千代田区
00010042,千代田区
00010485,千代田区
00010664,千代田区
00010716,千代田区
00010835,千代田区
00010836,千代田区
00010900,千代田区
00010935,千代田区
00010634,千代田区
00010969,千代田区
00011016,千代田区
00000168,千代田区
00000457,千代田区
00000490,千代田区
00010013,千代田区
00010014,千代田区
00010016,千代田区
00010017,千代田区
00010035,千代田区
00010020,千代田区
00010021,千代田区
00010022,千代田区
00010032,千代田区
00010037,千代田区
00010141,千代田区
00010143,千代田区
00010170,千代田区
00010171,千代田区
00010172,千代田区
00010173,千代田区
00010175,千代田区
00010194,千代田区
00010302,千代田区
00010303,千代田区
00010467,千代田区
00010468,千代田区
00010562,中央区
00010600,千代田区
00010645,千代田区
00010672,千代田区
00010874,千代田区
00010909,千代田区
00010949,千代田区
00011026,千代田区
00010023,千代田区
00010033,千代田区
00010024,千代田区
00010041,千代田区
00010148,千代田区
00010197,千代田区
00010513,千代田区
00010530,千代田区
00010851,千代田区
00000491,千代田区
00000631,千代田区
00010019,千代田区
00010025,千代田区
00010553,千代田区
00010776,千代田区
00010026,千代田区
00010027,千代田区
00010043,千代田区
00010044,千代田区
00010125,千代田区
00010126,千代田区
00010039,千代田区
00010426,千代田区
00010571,千代田区
00010572,千代田区
00010601,千代田区
00010613,千代田区
00010642,千代田区
00010768,千代田区
00010919,千代田区
00010906,千代田区
00010922,千代田区
00010936,千代田区
00011036,千代田区
00010047,中央区
00010048,中央区
00010049,中央区
00010050,中央区
00010051,中央区
00010052,中央区
00010064,中央区
00010130,中央区
00010137,中央区
00010139,中央区
00010123,中央区
00010226,中央区
00010316,中央区
00010447,中央区
00010551,中央区
00010564,中央区
00010622,中央区
00010828,中央区
00000286,中央区
00000497,中央区
00000565,中央区
00000712,中央区
00010053,中央区
00010054,中央区
00010055,中央区
00010056,中央区
00010057,中央区
00010066,中央区
00010067,中央区
00010068,中央区
00010214,中央区
00010216,中央区
00010539,中央区
00000384,中央区
00000407,中央区
00000480,中央区
00000764,中央区
00010045,中央区
00010058,中央区
00010161,中央区
00010117,中央区
00010169,中央区
00010413,中央区
00010641,中央区
00010614,中央区
00010442,中央区
00010952,中央区
00011021,中央区
00000123,中央区
00010059,中央区
00010046,中央区
00010060,中央区
00010061,中央区
00010062,中央区
00010157,中央区
00010162,中央区
00010163,中央区
00010327,中央区
00010339,中央区
00010352,中央区
00010708,中央区
00010764,中央区
00010879,中央区
00010934,中央区
00010978,中央区
00000161,中央区
00000237,中央区
00000635,中央区
00010069,港区
00010070,港区
00010072,港区
00010073,港区
00010077,港区
00010088,港区
00010087,港区
00010089,港区
00010075,港区
00010140,港区
00010145,港区
00010151,港区
00010192,港区
00010313,港区
