id,name
7226,多治見運動公園管理事務所前
7229,笠原中央公民館
7230,多治見市民病院
7231,ファミリーマート多治見駅前店
7232,光ヶ丘交差点
7239,多治見市陶磁器意匠研究所
7240,多治見市総合福祉センター
7242,ヤマカまなびパーク
7244,豊岡駐車場
7245,岐阜県立多治見病院
7247,多治見市役所　本庁舎
7401,下沢町交差点
7418,多治見市美濃焼卸センター
7503,小泉公民館　2
7507,Gifu  Seiryu  Heroes(ｷﾞﾌ ｾｲﾘｭｳ ﾋｰﾛｰｽﾞ)
7521,OS HILLS
7522,オリベフットサルパーク
7537,西坂町2丁目
7582,浪花
7583,笠原ショッピングプラザMINE(マイン)
7584,ジャパンレンタカー多治見店
7650,ＯＳ１０ビル
7652,オリエンタルタワーズEAST
7653,ペットブティック　エクレシア
7830,多治見駅北口
7832,カラオケR2＆ビックエコー多治見店
7833,石政佐藤石材
8021,バロー多治見店
8022,スーパーセンター オークワ多治見店
9469,スーパーセンターオークワ 　テラスゲート土岐店
9470,岐阜県立多治見病院 Ⅱ
9471,大三接骨院
9532,恵那市役所
9533,恵那駅
9534,恵那市中央図書館
9535,恵那文化センター　
9536,中山道明治天皇大井行在所
