id,name
2029,サイクルベースあさひ洛西口店
2030,サイクルベースあさひ桂川店
2141,ラクセーヌ駐車場北側通路
2142,ホテル京都エミナース西南側
2143,竹林公園
2487,サイクルベースあさひ桂店
2488,サイクルベースあさひ京都南店
2658,ハレイワカフェ京都桂店
2817,大原野神社
2820,サイクルベースあさひ二条店
3088,サイクルベースあさひ北大路店
3739,東映太秦映画村
4309,UR賃貸住宅 洛西竹の里
4310,UR賃貸住宅 洛西福西公園
4311,UR賃貸住宅 洛西新林北
5281,UR賃貸住宅 洛西新林北　集会所前
5288,梅小路京都西駐輪場A（丹波口寄り）
5289,梅小路京都西駐輪場B（梅小路京都西駅寄り)
5403,朝堂院公園
5404,向日市観光交流センターまちてらすMUKO
5405,三番屋本店
5460,勝竜寺城公園
5461,西代里山公園
5512,ナカムラ竹研
5615, TauT阪急洛西口北端
5616,長岡京市立産業文化会館
5620,長岡京市中央公民館
5823,竹の子料理　うお嘉（うおか）竹林前
6469,敷島住宅　四条敷島ビル
6470,敷島住宅　K&Cプラザ
6654,JR丹波口駅前
6741,クロスホテル京都
8040,京阪川端駐輪場
8153,石清水八幡宮駅
8154,淀駅高架下納所駐輪場
8155,中書島駅高架下
8156,丹波橋駅ECOPOOL
9235,エリッツ10
9238,グランディール京大御蔭
9240,ウエステート聖護院
9241,エルベ北野
9242,佐竹ビル
9246,カーサソフィア
9249,池田マンション
9251,サンリッチ京都駅Ⅰ
9253,ルミナース西院
9254,レジデンスじゅらく
9255,シャルマン岡﨑
9256,アルティスタ蛸薬師
9258,エリッツ３ｒｄ
9259,エリッツ御池ビル
9262,ネクサス北白川
9264,エリッツ7
9266,ソフィアブリュー
9467,ベルドール佐野
9513,龍谷大深草駅
9769,京阪三条駅
9839,KOTO二条
10156,メゾンド蔵
